year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified
2006,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,199094.1,157035.8,42058.3,170781.8,28312.3
2006,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47352.1,27428.2,19923.9,40225.6,7126.5
2006,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1922.6,1201.3,721.3,1822.8,99.8
2006,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22484.6,22466.5,18.1,21055.2,1429.4
2006,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1019.6,514.4,505.2,998.8,20.8
2006,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27586,26185,1401,22761.2,4824.8
2006,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2006,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,35571.6,26527.7,9043.9,30578.5,4993.1
2007,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,198011,156221.5,41789.5,170154.7,27856.3
2007,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47452,27691,19761,40396,7056
2007,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1792.2,1098.8,693.4,1681.1,111.1
2007,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22367.7,22344,23.7,20821.8,1545.9
2007,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1083.9,558.9,525,1069.8,14.1
2007,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27727.1,26286.1,1441,23188.9,4538.2
2007,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2007,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,34930.5,25978.3,8952.2,29904.1,5026.4
2006,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,63157.6,52712.7,10444.9,53339.7,9817.9
2007,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,62657.6,52264.4,10393.2,53093,9564.6
2008,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,60973.2,50967.3,10005.9,51382.9,9590.3
2009,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,59492.3,49912.6,9579.7,50548.4,8943.9
2010,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58417.3,48997.6,9419.7,50144.9,8272.4
2011,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58023,48803.7,9219.3,50373,7650
2012,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,57814.8,48738,9076.8,49657.3,8157.5
2013,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,57668.9,48581.3,9087.6,50834.5,6834.4
2014,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,58269.1,49118.9,9150.2,51949.4,6319.7
2015,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,59128.7,49934.2,9194.5,53905.6,5223.1
2016,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,60220.7,50876.5,9344.2,56797.3,3423.4
2008,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,194660.3,153770.2,40890.1,166963.3,27697
2008,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,47124.3,27530.9,19593.4,40274.5,6849.8
2008,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1799,1067.4,731.6,1699.2,99.8
2008,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,22744.3,22717.3,27,21186.2,1558.1
2008,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1046.3,520,526.3,1037.6,8.7
2008,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27520,26146.2,1373.8,23078.9,4441.1
2008,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2008,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,33453.2,24821.1,8632.1,28304,5149.2
2017,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,61634.9,52254.4,9380.5,58080.8,3554.1
2018,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,63004.8,53346.7,9658.1,59076.3,3928.5
2019,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,64345.3,54400.9,9944.4,59980.4,4364.9
2020,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,67040.9,56534.3,10506.6,61728.4,5312.5
2021,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,69534.9,58408,11126.9,63634.1,5900.8
2022,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,71325.3,59744.7,11580.6,64850.8,6474.5
2023,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,73725.8,61710.5,12015.3,66516.4,7209.4
2024,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,74982.4,62812.4,12170,67466.6,7515.8
2009,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,192103,152294.1,39808.9,165813.9,26289.1
2009,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,46734.9,27334.3,19400.6,40306.6,6428.3
2009,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1815.2,1098.9,716.3,1716.8,98.4
2009,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,23567.8,23533.4,34.4,21703.5,1864.3
2009,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1000.5,502.3,498.2,990.2,10.3
2009,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27529.2,26167.9,1361.3,23335.8,4193.4
2009,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2009,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,31963.1,23744.7,8218.4,27212.6,4750.5
2010,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,190954.4,151661,39293.4,165723.7,25230.7
2010,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,46488.8,27242.9,19245.9,40164.4,6324.4
2010,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1806.2,1115.4,690.8,1710.2,96
2010,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,24584.3,24542.2,42.1,22400.8,2183.5
2010,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,997.9,524.7,473.2,990.8,7.1
2010,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27634.9,26208.9,1426,23724.8,3910.1
2010,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,242.6,240.6,2,167.7,74.9
2010,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,30782.4,22788.7,7993.7,26420.1,4362.3
2011,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,190318.2,151972.8,38345.4,166440.8,23877.4
2011,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,45384.9,26744.5,18640.4,39626.3,5758.6
2011,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1841,1156.6,684.4,1746.3,94.7
2011,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,25736.8,25670.6,66.2,23102.9,2633.9
2011,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1030,515.5,514.5,1018.8,11.2
2011,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,27796,26353.5,1442.5,24119.6,3676.4
2011,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,279.5,278.2,1.3,200.5,79
2011,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,30227,22450.2,7776.8,26253.4,3973.6
2012,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,189591.3,152100.5,37490.8,163327.9,26263.4
2012,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,43875.8,25948.8,17927,37295.5,6580.3
2012,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1890.7,1148.3,742.4,1765.7,125
2012,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,26780.6,26687.7,92.9,23646.3,3134.3
2012,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1120.7,549.4,571.3,1094.6,26.1
2012,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,28114.6,26599.8,1514.8,24131.1,3983.5
2012,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,293.9,290.3,3.6,211.2,82.7
2012,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29700.2,22138.2,7562,25526.2,4174
2013,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,188191.5,151797.7,36393.8,166358.4,21833.1
2013,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,41788.8,24946.3,16842.5,36695.1,5093.7
2013,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1876,1181.2,694.8,1777.7,98.3
2013,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,27739.2,27627.9,111.3,24840.4,2898.8
2013,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1126.6,560.9,565.7,1118.1,8.5
2013,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,28374.9,26853,1521.9,25030.4,3344.5
2013,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,323.1,318.8,4.3,258.1,65
2013,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29294,21728.3,7565.7,25804.1,3489.9
2014,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,188593.4,152708.9,35884.5,168823.5,19769.9
2014,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,40214.1,23984.9,16229.2,36082.9,4131.2
2014,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1782.5,1138.6,643.9,1720.5,62
2014,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,28583,28450.7,132.3,25720.5,2862.5
2014,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1157.9,583.5,574.4,1146.6,11.3
2014,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,29025.1,27411.2,1613.9,25825.5,3199.6
2014,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,317.7,313.4,4.3,254.2,63.5
2014,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29244,21707.7,7536.3,26123.9,3120.1
2015,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,189753.5,154380,35373.5,173522.6,16230.9
2015,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,39070.1,23386.2,15683.9,35946.3,3123.8
2015,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1742.5,1132.6,609.9,1686.8,55.7
2015,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29283.4,29129.7,153.7,26751.6,2531.8
2015,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1063.4,530,533.4,1035.6,27.8
2015,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,29888.3,28169.6,1718.7,27131.3,2757
2015,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,336.7,333.1,3.6,291.1,45.6
2015,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29240.4,21764.6,7475.8,26774.3,2466.1
2016,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,191456.7,156129.2,35327.5,181295.8,10160.9
2016,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38385.9,23052.7,15333.2,36699.2,1686.7
2016,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1667.3,1050.8,616.5,1630.9,36.4
2016,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29513.8,29354.1,159.7,27963.5,1550.3
2016,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1062.9,537.9,525,1050.9,12
2016,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,30829,29002.8,1826.2,28895.7,1933.3
2016,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,385.4,380.7,4.7,356.7,28.7
2016,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29391.7,21873.7,7518,27901.6,1490.1
2017,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,193927.6,158780.6,35147,184011.9,9915.7
2017,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38069.6,22896.9,15172.7,36632.6,1437
2017,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1526.3,1005.8,520.5,1505.9,20.4
2017,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29629.5,29463.2,166.3,28316.5,1313
2017,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1059.7,538.6,521.1,1051,8.7
2017,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,31827.9,29978.8,1849.1,29801.2,2026.7
2017,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,372.7,367.3,5.4,344.3,28.4
2017,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,29807,22275.6,7531.4,28279.6,1527.4
2018,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,197235.9,161603.6,35632.3,186702.2,10533.7
2018,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38114.9,22985.4,15129.5,36745.1,1369.8
2018,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1450.3,945.9,504.4,1430.8,19.5
2018,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,30303.2,30126.5,176.7,29050.7,1252.5
2018,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1040.8,538,502.8,1031.6,9.2
2018,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,32452.3,30552.7,1899.6,30173.3,2279
2018,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,317.1,314.4,2.7,291.4,25.7
2018,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,30552.5,22794,7758.5,28903,1649.5
2019,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,200195.3,163966.4,36228.9,188621.6,11573.7
2019,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38223.4,23021.6,15201.8,36756,1467.4
2019,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1363,899.5,463.5,1338.7,24.3
2019,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,30580.8,30403.7,177.1,29265.9,1314.9
2019,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1035.8,541.8,494,1027,8.8
2019,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,32829.7,30880.3,1949.4,30385.1,2444.6
2019,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,301.7,298,3.7,273.2,28.5
2019,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,31515.6,23520.6,7995,29595.3,1920.3
2020,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,208306,170612.1,37693.9,193882.6,14423.4
2020,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,39133.3,23604.4,15528.9,37298.8,1834.5
2020,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1274.7,862.9,411.8,1251.2,23.5
2020,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,32372.6,32171.5,201.1,30484.3,1888.3
2020,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1069.8,539,530.8,1061.6,8.2
2020,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,33463.7,31465.4,1998.3,30615.9,2847.8
2020,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,373.8,365.7,8.1,329.9,43.9
2020,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,33577.2,25068.9,8508.3,31112.5,2464.7
2021,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,215073.4,175647.5,39425.9,199063,16010.4
2021,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,40193.3,24171,16022.3,38074.1,2119.2
2021,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1241.5,819.7,421.8,1221.4,20.1
2021,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,33156.7,32938.4,218.3,31120.5,2036.2
2021,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1023,522.3,500.7,1021.5,1.5
2021,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,34057.3,31993.3,2064,31078.4,2978.9
2021,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,389.1,380.1,9,357.3,31.8
2021,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,35477.6,26414.7,9062.9,32555.7,2921.9
2022,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,220585.4,179742.4,40843,203194,17391.4
2022,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,41305.8,24800.2,16505.6,38919.9,2385.9
2022,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1243.4,821.4,422,1215.4,28
2022,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,33830.8,33598.4,232.4,31844.9,1985.9
2022,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1097.8,582.5,515.3,1092.2,5.6
2022,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,34421.8,32322.3,2099.5,31242.8,3179
2022,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,457,450.5,6.5,420,37
2022,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,36903.5,27422.4,9481.1,33608,3295.5
2023,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,227501.5,185247.3,42254.2,208381.7,19119.8
2023,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,42488.4,25471,17017.4,39822.1,2666.3
2023,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1280.9,865.1,415.8,1252.6,28.3
2023,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,34634.5,34399.5,235,32695.4,1939.1
2023,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1092.1,543.7,548.4,1089.4,2.7
2023,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,35352.1,33183.8,2168.3,31863.3,3488.8
2023,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,554,547,7,489.4,64.6
2023,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,38373.7,28526.7,9847,34653.1,3720.6
2024,Česká republika,CZ0,Czech Republic,Regionální školství,All Schools,232009.6,188895.9,43113.7,211834.7,20174.9
2024,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,43963.4,26390.4,17573,40992.1,2971.3
2024,Česká republika,CZ0,Czech Republic,Vyšší odborná škola,Tertiary Professional School,1311.9,892,419.9,1281.1,30.8
2024,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,35068.8,34829.7,239.1,32997.2,2071.6
2024,Česká republika,CZ0,Czech Republic,Konzervatoř,Conservatoiry,1084.1,548.4,535.7,1082.3,1.8
2024,Česká republika,CZ0,Czech Republic,ZŠ - na 1. stupni,Basic School - Primary,36237.4,34026.7,2210.7,32517,3720.4
2024,Česká republika,CZ0,Czech Republic,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,616.6,610.6,6,548.8,67.8
2024,Česká republika,CZ0,Czech Republic,ZŠ - na 2. stupni,Basic School - Lower-Secondary,38745,28785.7,9959.3,34949.6,3795.4
2006,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6176.2,3822.4,2353.8,5434.1,742.1
2006,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,3361.7,2649.8,711.9,2838.1,523.6
2006,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,445.2,225.4,219.8,433.7,11.5
2006,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,452.9,277.3,175.6,426.4,26.5
2006,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2408.7,2307.5,101.2,2004.2,404.5
2006,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2365.5,2358.8,6.7,2119.7,245.8
2006,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2007,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6124.2,3837.6,2286.6,5334.7,789.5
2007,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,3237.3,2555,682.3,2736.8,500.5
2007,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,444.3,227.9,216.4,436.1,8.2
2007,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,429.5,241.1,188.4,399.2,30.3
2007,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2452.5,2341.3,111.2,2064.2,388.3
2007,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2367.2,2358.8,8.4,2118.6,248.6
2007,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2008,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6169.1,3859,2310.1,5356.9,812.2
2008,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,3061.3,2390.3,671,2564.9,496.4
2008,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,430.7,205.9,224.8,426.3,4.4
2008,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,448.8,248,200.8,424.4,24.4
2008,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2419.1,2312.1,107,2014.3,404.8
2008,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2397.4,2389.2,8.2,2140.7,256.7
2008,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2009,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6164.9,3837.4,2327.5,5362.8,802.1
2009,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,2878.1,2228.2,649.9,2429.9,448.2
2009,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,438.8,210.4,228.4,432.9,5.9
2009,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,445.9,275.1,170.8,422.9,23
2009,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2457.8,2336.1,121.7,2063.9,393.9
2009,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2516.1,2501.9,14.2,2226,290.1
2009,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,,,,,
2010,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,26,26,,22,4
2010,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6071.2,3800.4,2270.8,5322.9,748.3
2010,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,2770.4,2146.4,624,2352.7,417.7
2010,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,418.5,210.1,208.4,413.6,4.9
2010,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,468.8,281.8,187,446.6,22.2
2010,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2530.9,2408,122.9,2158.7,372.2
2010,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2648,2635.8,12.2,2301.5,346.5
2011,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,39.4,39.4,,36.4,3
2011,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5999.7,3774.9,2224.8,5289.6,710.1
2011,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,2716.9,2098.7,618.2,2334.4,382.5
2011,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,460,220.7,239.3,453.3,6.7
2011,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,455.4,282.2,173.2,434.4,21
2011,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2589.9,2450.9,139,2213.6,376.3
2011,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2818.4,2805.3,13.1,2391.2,427.2
2012,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5918.4,3697.2,2221.2,5047.5,870.9
2012,Hlavní město Praha,CZ010,Prague,ZŠ - na 2. stupni,Basic School - Lower-Secondary,2686.4,2059.1,627.3,2277.4,409
2012,Hlavní město Praha,CZ010,Prague,Konzervatoř,Conservatoiry,560.1,255.3,304.8,545.4,14.7
2012,Hlavní město Praha,CZ010,Prague,Vyšší odborná škola,Tertiary Professional School,507.5,300,207.5,484.2,23.3
2012,Hlavní město Praha,CZ010,Prague,ZŠ - na 1. stupni,Basic School - Primary,2677.3,2525.7,151.6,2243.2,434.1
2012,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2980.4,2953.2,27.2,2486.8,493.6
2012,Hlavní město Praha,CZ010,Prague,"Základní škola - přípravné třídy
a přípravný stupeň",Basic School - Preparatory Class,47.7,47.2,0.5,41.7,6
