year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified,school_cluster_code,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2014,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,28583,28450.7,132.3,25720.5,2862.5,MS,0,22755.08,,22757.09,,
2014,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,40214.1,23984.9,16229.2,36082.9,4131.2,SS_VOS_K,0.35,27670.31,28070.44,27810.23,0.985745462,-400.13
2015,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,59128.7,49934.2,9194.5,53905.6,5223.1,ZS_SEN_1,0.14,26538.69,26556.93,26541.3,0.999313272,-18.24
2015,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29283.4,29129.7,153.7,26751.6,2531.8,MS,0,22755.08,,22757.09,,
2015,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,39070.1,23386.2,15683.9,35946.3,3123.8,SS_VOS_K,0.35,27670.31,28070.44,27810.23,0.985745462,-400.13
2016,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,60220.7,50876.5,9344.2,56797.3,3423.4,ZS_SEN_1,0.14,29092,29048,29086,1.001514734,44
2016,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29513.8,29354.1,159.7,27963.5,1550.3,MS,0,24375,,24387,,
2016,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38385.9,23052.7,15333.2,36699.2,1686.7,SS_VOS_K,0.35,30069,30463,30206,0.987066277,-394
2017,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,61634.9,52254.4,9380.5,58080.8,3554.1,ZS_SEN_2,0.14,31571.56,31513.51,31563.53,1.001841949,58.05
2017,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,29629.5,29463.2,166.3,28316.5,1313,PV_MS_PT,0.01,26223.58,27780.59,26231.82,0.943953438,-1557.01
2017,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38069.6,22896.9,15172.7,36632.6,1437,SS_K,0.4,31845.45,31620.31,31755.25,1.007120309,225.15
2018,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,63004.8,53346.7,9658.1,59076.3,3928.5,ZS_SEN_2,0.14,35002.3,34869.8,34983.8,1.00379985,132.5
2018,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,30303.2,30126.5,176.7,29050.7,1252.5,PV_MS_PT,0,29028.4,29408.9,29030.1,0.98706174,-380.5
2018,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38114.9,22985.4,15129.5,36745.1,1369.8,SS_K,0.4,35543.2,35309.5,35450,1.006618615,233.7
2019,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,64345.3,54400.9,9944.4,59980.4,4364.9,ZS_SEN_2,0.14,40475.3,40352.6,40457.9,1.003040696,122.7
2019,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,30580.8,30403.7,177.1,29265.9,1314.9,PV_MS_PT,0.01,33335.7,34920.1,33343.8,0.95462785,-1584.4
2019,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,38223.4,23021.6,15201.8,36756,1467.4,SS_K,0.41,41176.7,40608.6,40944.1,1.013989648,568.1
2020,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,67040.9,56534.3,10506.6,61728.4,5312.5,ZS_SEN_2,0.15,44638,44142.4,44566,1.011227301,495.6
2020,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,32372.6,32171.5,201.1,30484.3,1888.3,PV_MS_PT,0.01,35532.4,36887.2,35539.9,0.963271812,-1354.8
