year,school_type,school_cluster_code,school_type_en,cznuts_cz,cznuts3,cznuts_en,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2022,SS,SS_K,Upper-Secondary School,Hlavní město Praha,CZ010,Prague,0.38,"53,058.30","50,939.20","52,247.20",1.04,"2,119.10"
2022,Total,ALL,All Schools,Středočeský kraj,CZ020,Central Bohemian Region,0.16,"47,658.40","49,304.30","47,917.90",0.97,"-1,645.90"
2022,ZS,ZS_SEN_2,Basic School,Středočeský kraj,CZ020,Central Bohemian Region,0.13,"49,585.00","49,282.40","49,545.40",1.01,302.6
2022,MS,PV_MS_PT,Nursery School,Středočeský kraj,CZ020,Central Bohemian Region,0,"38,627.10","45,991.60","38,661.90",0.84,"-7,364.50"
2022,SS,SS_K,Upper-Secondary School,Středočeský kraj,CZ020,Central Bohemian Region,0.38,"50,639.20","50,108.80","50,435.50",1.01,530.4
2022,Total,ALL,All Schools,Jihočeský kraj,CZ031,South Bohemian Region,0.19,"46,185.50","48,246.30","46,579.90",0.96,"-2,060.80"
2022,ZS,ZS_SEN_2,Basic School,Jihočeský kraj,CZ031,South Bohemian Region,0.15,"47,745.20","48,276.40","47,825.90",0.99,-531.2
2022,MS,PV_MS_PT,Nursery School,Jihočeský kraj,CZ031,South Bohemian Region,0,"38,191.70",,"38,193.10",,
2022,SS,SS_K,Upper-Secondary School,Jihočeský kraj,CZ031,South Bohemian Region,0.42,"49,178.20","48,616.60","48,943.50",1.01,561.6
2022,Total,ALL,All Schools,Plzeňský kraj,CZ032,Plzeň Region,0.18,"47,114.20","47,971.30","47,269.80",0.98,-857.1
2022,ZS,ZS_SEN_2,Basic School,Plzeňský kraj,CZ032,Plzeň Region,0.14,"48,803.20","48,448.80","48,753.80",1.01,354.4
2022,MS,PV_MS_PT,Nursery School,Plzeňský kraj,CZ032,Plzeň Region,0.01,"38,433.90","37,254.30","38,423.10",1.03,"1,179.60"
2022,SS,SS_K,Upper-Secondary School,Plzeňský kraj,CZ032,Plzeň Region,0.41,"50,283.80","47,630.80","49,208.50",1.06,"2,653.00"
2022,Total,ALL,All Schools,Karlovarský kraj,CZ041,Karlovy Vary Region,0.19,"46,703.40","48,613.80","47,059.60",0.96,"-1,910.40"
2022,ZS,ZS_SEN_2,Basic School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.16,"47,899.70","47,965.80","47,910.10",1,-66.1
2022,MS,PV_MS_PT,Nursery School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.01,"38,092.40",,"38,114.30",,
2022,SS,SS_K,Upper-Secondary School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.36,"50,841.30","48,683.70","50,065.70",1.04,"2,157.60"
2022,Total,ALL,All Schools,Ústecký kraj,CZ042,Ústí nad Labem Region,0.18,"46,242.80","46,788.50","46,341.50",0.99,-545.7
2022,ZS,ZS_SEN_2,Basic School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.15,"47,990.30","46,938.20","47,836.70",1.02,"1,052.10"
2022,MS,PV_MS_PT,Nursery School,Ústecký kraj,CZ042,Ústí nad Labem Region,0,"37,414.50","38,087.60","37,416.70",0.98,-673.1
2022,SS,SS_K,Upper-Secondary School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.41,"48,359.40","46,867.00","47,753.80",1.03,"1,492.40"
2022,Total,ALL,All Schools,Liberecký kraj,CZ051,Liberec Region,0.18,"46,630.80","48,220.00","46,911.00",0.97,"-1,589.20"
2022,ZS,ZS_SEN_2,Basic School,Liberecký kraj,CZ051,Liberec Region,0.14,"48,349.30","47,699.30","48,256.50",1.01,650
2022,MS,PV_MS_PT,Nursery School,Liberecký kraj,CZ051,Liberec Region,0,"38,102.50","35,986.90","38,092.90",1.06,"2,115.60"
2022,SS,SS_K,Upper-Secondary School,Liberecký kraj,CZ051,Liberec Region,0.42,"49,959.80","49,388.40","49,717.50",1.01,571.4
2022,Total,ALL,All Schools,Královéhradecký kraj,CZ052,Hradec Králové Region,0.2,"46,569.30","47,964.20","46,848.80",0.97,"-1,394.90"
2022,ZS,ZS_SEN_2,Basic School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.16,"48,073.80","47,890.90","48,045.40",1,182.9
2022,MS,PV_MS_PT,Nursery School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.01,"38,184.70","38,138.60","38,184.50",1,46.1
2022,SS,SS_K,Upper-Secondary School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.43,"50,154.30","48,601.90","49,482.60",1.03,"1,552.40"
2022,Total,ALL,All Schools,Pardubický kraj,CZ053,Pardubice Region,0.19,"47,069.60","48,389.00","47,323.60",0.97,"-1,319.40"
2022,ZS,ZS_SEN_2,Basic School,Pardubický kraj,CZ053,Pardubice Region,0.14,"48,801.80","49,420.70","48,890.50",0.99,-618.9
2022,MS,PV_MS_PT,Nursery School,Pardubický kraj,CZ053,Pardubice Region,0.01,"38,065.30","40,038.00","38,081.30",0.95,"-1,972.70"
2022,SS,SS_K,Upper-Secondary School,Pardubický kraj,CZ053,Pardubice Region,0.42,"50,011.00","47,957.50","49,139.90",1.04,"2,053.50"
2022,Total,ALL,All Schools,Kraj Vysočina,CZ063,Vysočina Region,0.19,"46,146.60","48,794.80","46,652.10",0.95,"-2,648.20"
2022,ZS,ZS_SEN_2,Basic School,Kraj Vysočina,CZ063,Vysočina Region,0.16,"47,909.90","49,038.70","48,087.60",0.98,"-1,128.80"
2022,MS,PV_MS_PT,Nursery School,Kraj Vysočina,CZ063,Vysočina Region,0.01,"37,227.10","39,836.70","37,240.50",0.93,"-2,609.60"
2022,SS,SS_K,Upper-Secondary School,Kraj Vysočina,CZ063,Vysočina Region,0.48,"49,414.90","48,584.40","49,019.20",1.02,830.5
2022,Total,ALL,All Schools,Jihomoravský kraj,CZ064,South Moravian Region,0.18,"46,111.20","47,867.10","46,432.70",0.96,"-1,755.90"
2022,ZS,ZS_SEN_2,Basic School,Jihomoravský kraj,CZ064,South Moravian Region,0.15,"47,690.90","48,119.40","47,757.30",0.99,-428.5
2022,MS,PV_MS_PT,Nursery School,Jihomoravský kraj,CZ064,South Moravian Region,0.01,"38,170.40","47,116.70","38,217.60",0.81,"-8,946.30"
2022,SS,SS_K,Upper-Secondary School,Jihomoravský kraj,CZ064,South Moravian Region,0.41,"48,703.70","47,465.70","48,198.90",1.03,"1,238.00"
2022,Total,ALL,All Schools,Olomoucký kraj,CZ071,Olomouc Region,0.19,"46,076.30","47,489.50","46,339.10",0.97,"-1,413.20"
2022,ZS,ZS_SEN_2,Basic School,Olomoucký kraj,CZ071,Olomouc Region,0.15,"47,582.10","47,454.90","47,563.50",1,127.2
2022,MS,PV_MS_PT,Nursery School,Olomoucký kraj,CZ071,Olomouc Region,0.01,"37,699.20","40,342.30","37,717.40",0.93,"-2,643.10"
2022,SS,SS_K,Upper-Secondary School,Olomoucký kraj,CZ071,Olomouc Region,0.39,"48,952.90","47,235.30","48,285.30",1.04,"1,717.60"
2022,Total,ALL,All Schools,Zlínský kraj,CZ072,Zlín Region,0.19,"45,997.60","48,453.30","46,471.30",0.95,"-2,455.70"
2022,ZS,ZS_SEN_2,Basic School,Zlínský kraj,CZ072,Zlín Region,0.15,"47,587.60","48,038.10","47,654.50",0.99,-450.5
2022,MS,PV_MS_PT,Nursery School,Zlínský kraj,CZ072,Zlín Region,0.01,"37,199.60","42,818.80","37,227.90",0.87,"-5,619.20"
2022,SS,SS_K,Upper-Secondary School,Zlínský kraj,CZ072,Zlín Region,0.43,"49,785.40","49,510.90","49,668.70",1.01,274.5
2022,Total,ALL,All Schools,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.17,"45,987.30","47,904.80","46,315.70",0.96,"-1,917.50"
2022,ZS,ZS_SEN_2,Basic School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.15,"47,416.60","47,670.90","47,453.90",0.99,-254.3
2022,MS,PV_MS_PT,Nursery School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.01,"37,873.20","38,859.00","37,879.50",0.97,-985.8
2022,SS,SS_K,Upper-Secondary School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.36,"49,818.70","48,704.10","49,414.00",1.02,"1,114.60"
2023,Total,ALL,All Schools,Česká republika,CZ0,Czech Republic,0.2,"47,677.80","50,046.60","48,150.30",0.95,"-2,368.80"
2023,ZS,ZS_SEN_2,Basic School,Česká republika,CZ0,Czech Republic,0.15,"50,061.80","50,110.40","50,069.10",1,-48.6
2023,MS,PV_MS_PT,Nursery School,Česká republika,CZ0,Czech Republic,0.01,"39,500.50","41,769.20","39,515.00",0.95,"-2,268.70"
2023,SS,SS_K,Upper-Secondary School,Česká republika,CZ0,Czech Republic,0.4,"51,836.20","50,317.40","51,225.40",1.03,"1,518.80"
2023,Total,ALL,All Schools,Hlavní město Praha,CZ010,Prague,0.22,"50,132.50","51,910.40","50,518.50",0.97,"-1,777.90"
2023,ZS,ZS_SEN_2,Basic School,Hlavní město Praha,CZ010,Prague,0.18,"52,293.30","51,760.40","52,197.90",1.01,532.9
2023,MS,PV_MS_PT,Nursery School,Hlavní město Praha,CZ010,Prague,0.01,"41,221.40","40,245.40","41,213.40",1.02,976
2023,SS,SS_K,Upper-Secondary School,Hlavní město Praha,CZ010,Prague,0.38,"54,915.50","52,727.00","54,089.70",1.04,"2,188.50"
2023,Total,ALL,All Schools,Středočeský kraj,CZ020,Central Bohemian Region,0.17,"48,473.80","51,200.50","48,946.10",0.95,"-2,726.70"
2023,ZS,ZS_SEN_2,Basic School,Středočeský kraj,CZ020,Central Bohemian Region,0.13,"51,409.40","51,318.00","51,397.40",1,91.4
2023,MS,PV_MS_PT,Nursery School,Středočeský kraj,CZ020,Central Bohemian Region,0.01,"39,900.20","48,341.90","39,947.30",0.83,"-8,441.70"
2023,SS,SS_K,Upper-Secondary School,Středočeský kraj,CZ020,Central Bohemian Region,0.38,"52,359.90","52,037.50","52,237.30",1.01,322.4
2023,Total,ALL,All Schools,Jihočeský kraj,CZ031,South Bohemian Region,0.21,"46,952.30","49,718.50","47,531.20",0.94,"-2,766.20"
2023,ZS,ZS_SEN_2,Basic School,Jihočeský kraj,CZ031,South Bohemian Region,0.15,"49,189.00","49,765.00","49,275.80",0.99,-576
2023,MS,PV_MS_PT,Nursery School,Jihočeský kraj,CZ031,South Bohemian Region,0,"39,711.20","38,529.40","39,705.90",1.03,"1,181.80"
2023,SS,SS_K,Upper-Secondary School,Jihočeský kraj,CZ031,South Bohemian Region,0.42,"50,341.20","50,060.50","50,223.70",1.01,280.7
2023,Total,ALL,All Schools,Plzeňský kraj,CZ032,Plzeň Region,0.2,"48,113.40","49,832.50","48,459.50",0.97,"-1,719.10"
2023,ZS,ZS_SEN_2,Basic School,Plzeňský kraj,CZ032,Plzeň Region,0.14,"50,577.60","51,266.60","50,674.80",0.99,-689
2023,MS,PV_MS_PT,Nursery School,Plzeňský kraj,CZ032,Plzeň Region,0.01,"39,837.20","39,486.30","39,834.20",1.01,350.9
2023,SS,SS_K,Upper-Secondary School,Plzeňský kraj,CZ032,Plzeň Region,0.41,"52,116.80","49,026.50","50,852.90",1.06,"3,090.30"
2023,Total,ALL,All Schools,Karlovarský kraj,CZ041,Karlovy Vary Region,0.2,"47,956.20","50,241.80","48,409.80",0.95,"-2,285.60"
2023,ZS,ZS_SEN_2,Basic School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.16,"49,805.00","49,880.70","49,817.10",1,-75.7
2023,MS,PV_MS_PT,Nursery School,Karlovarský kraj,CZ041,Karlovy Vary Region,0,"39,379.60",,"39,407.50",,
2023,SS,SS_K,Upper-Secondary School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.36,"52,337.30","49,685.10","51,383.80",1.05,"2,652.20"
2023,Total,ALL,All Schools,Ústecký kraj,CZ042,Ústí nad Labem Region,0.2,"47,078.90","48,576.00","47,373.00",0.97,"-1,497.10"
2023,ZS,ZS_SEN_2,Basic School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.15,"49,540.50","48,432.00","49,374.10",1.02,"1,108.50"
2023,MS,PV_MS_PT,Nursery School,Ústecký kraj,CZ042,Ústí nad Labem Region,0,"38,661.20","41,415.40","38,670.30",0.93,"-2,754.20"
2023,SS,SS_K,Upper-Secondary School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.4,"50,725.20","48,895.80","49,993.10",1.04,"1,829.40"
2023,Total,ALL,All Schools,Liberecký kraj,CZ051,Liberec Region,0.19,"47,557.60","50,148.10","48,049.60",0.95,"-2,590.50"
2023,ZS,ZS_SEN_2,Basic School,Liberecký kraj,CZ051,Liberec Region,0.14,"50,254.80","49,575.30","50,158.80",1.01,679.5
